# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1717348424411000000,1717348484537000000,0
IndexesFlusher.totalContentionQuotaSpent,1717348424411000000,1717348484537000000,32
IndexesFlusher.totalFlushesRetried,1717348424411000000,1717348484537000000,2
IndexesFlusher.totalFlushingTimeUs,1717348424411000000,1717348484537000000,884829
IndexesFlusher.totalFlushes,1717348424411000000,1717348484537000000,48
VFS.fileByIdCache.misses,1717348484537000000,1717348493918000000,0
VFS.fileByIdCache.hits,1717348484537000000,1717348493918000000,0
VFS.invertedFileNameIndex.requests,1717348484537000000,1717348493918000000,0
VFS.fileChildByName,1717348484537000000,1717348493918000000,0
AWTEventQueue.dispatchTimeMaxNs,1717348484537000000,1717348493918000000,0
AWTEventQueue.eventsDispatched,1717348484537000000,1717348493918000000,0
FlushQueue.waitingTimeMaxNs,1717348484537000000,1717348493918000000,0
FlushQueue.executionTimeAvgNs,1717348484537000000,1717348493918000000,0.0
FlushQueue.waitingTime90PNs,1717348484537000000,1717348493918000000,0
FlushQueue.queueSize90P,1717348484537000000,1717348493918000000,0
ReadAction.executionsCount,1717348484537000000,1717348493918000000,32
FlushQueue.executionTime90PNs,1717348484537000000,1717348493918000000,0
AWTEventQueue.dispatchTime90PNs,1717348484537000000,1717348493918000000,0
WriteAction.executionsCount,1717348484537000000,1717348493918000000,0
FlushQueue.queueSizeMax,1717348484537000000,1717348493918000000,0
FlushQueue.waitingTimeAvgNs,1717348484537000000,1717348493918000000,0.0
FlushQueue.executionTimeMaxNs,1717348484537000000,1717348493918000000,0
AWTEventQueue.dispatchTimeTotalNS,1717348484537000000,1717348493918000000,1695039593
AWTEventQueue.dispatchTimeAvgNs,1717348484537000000,1717348493918000000,0.0
FlushQueue.queueSizeAvg,1717348484537000000,1717348493918000000,0.0
FlushQueue.tasksExecuted,1717348484537000000,1717348493918000000,0
writeAction.max.wait.ms,1717348484537000000,1717348493918000000,0
